Week,FIPS,County,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
"2015-04-07","01001","Autauga County","AL","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01003","Baldwin County","AL","0.00","100.00","38.12","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01005","Barbour County","AL","0.00","100.00","99.30","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01007","Bibb County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01009","Blount County","AL","95.32","4.68","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01011","Bullock County","AL","0.00","100.00","6.34","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01013","Butler County","AL","5.41","94.59","11.72","0.05","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01015","Calhoun County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01017","Chambers County","AL","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01019","Cherokee County","AL","43.43","56.57","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01021","Chilton County","AL","73.71","26.29","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01023","Choctaw County","AL","62.68","37.32","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01025","Clarke County","AL","0.00","100.00","8.60","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01027","Clay County","AL","42.06","57.94","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01029","Cleburne County","AL","98.47","1.53","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01031","Coffee County","AL","0.00","100.00","100.00","9.03","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01033","Colbert County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01035","Conecuh County","AL","0.00","100.00","86.37","68.06","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01037","Coosa County","AL","31.75","68.25","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01039","Covington County","AL","0.00","100.00","100.00","46.64","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01041","Crenshaw County","AL","0.00","100.00","35.22","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01043","Cullman County","AL","90.17","9.83","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01045","Dale County","AL","0.00","100.00","100.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01047","Dallas County","AL","31.52","68.48","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01049","DeKalb County","AL","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01051","Elmore County","AL","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01053","Escambia County","AL","0.00","100.00","100.00","42.74","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01055","Etowah County","AL","97.90","2.10","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01057","Fayette County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01059","Franklin County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01061","Geneva County","AL","0.00","100.00","99.88","9.98","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01063","Greene County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01065","Hale County","AL","85.61","14.39","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01067","Henry County","AL","0.00","100.00","100.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01069","Houston County","AL","0.00","100.00","69.89","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01071","Jackson County","AL","26.71","73.29","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01073","Jefferson County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01075","Lamar County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01077","Lauderdale County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01079","Lawrence County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01081","Lee County","AL","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01083","Limestone County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01085","Lowndes County","AL","46.31","53.69","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01087","Macon County","AL","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01089","Madison County","AL","77.01","22.99","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01091","Marengo County","AL","10.66","89.34","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01093","Marion County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01095","Marshall County","AL","6.99","93.01","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01097","Mobile County","AL","0.04","99.96","51.38","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01099","Monroe County","AL","12.85","87.15","44.20","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01101","Montgomery County","AL","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01103","Morgan County","AL","50.40","49.60","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01105","Perry County","AL","37.65","62.35","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01107","Pickens County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01109","Pike County","AL","0.00","100.00","46.27","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01111","Randolph County","AL","3.98","96.02","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01113","Russell County","AL","0.00","100.00","16.83","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01115","Saint Clair County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01117","Shelby County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01119","Sumter County","AL","99.64","0.36","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01121","Talladega County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01123","Tallapoosa County","AL","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01125","Tuscaloosa County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01127","Walker County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01129","Washington County","AL","7.35","92.65","7.66","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01131","Wilcox County","AL","73.40","26.60","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","01133","Winston County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02013","Aleutians East Borough","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02016","Aleutians West Census Area","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02020","Anchorage Municipality","AK","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02050","Bethel Census Area","AK","73.20","26.80","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02060","Bristol Bay Borough","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02068","Denali Borough","AK","0.00","100.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02070","Dillingham Census Area","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02090","Fairbanks North Star Borough","AK","24.88","75.12","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02100","Haines Borough","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02110","Juneau City and Borough","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02122","Kenai Peninsula Borough","AK","46.98","53.02","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02130","Ketchikan Gateway Borough","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02150","Kodiak Island Borough","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02164","Lake and Peninsula Borough","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02170","Matanuska-Susitna Borough","AK","19.46","80.54","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02180","Nome Census Area","AK","98.33","1.67","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02185","North Slope Borough","AK","92.89","7.11","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02188","Northwest Arctic Borough","AK","94.03","5.97","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02201","Prince of Wales-Outer Ketchikan Census Area","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02220","Sitka City and Borough","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02232","Skagway-Hoonah-Angoon Census Area","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02240","Southeast Fairbanks Census Area","AK","12.37","87.63","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02261","Valdez-Cordova Census Area","AK","57.78","42.22","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02270","Wade Hampton Census Area","AK","89.35","10.65","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02280","Wrangell-Petersburg Census Area","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02282","Yakutat City and Borough","AK","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","02290","Yukon-Koyukuk Census Area","AK","54.95","45.05","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04001","Apache County","AZ","0.00","100.00","100.00","89.56","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04003","Cochise County","AZ","0.00","100.00","70.74","0.03","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04005","Coconino County","AZ","0.00","100.00","90.85","48.23","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04007","Gila County","AZ","0.00","100.00","99.86","55.34","0.89","0.00","2015-04-07","2015-04-13"
"2015-04-07","04009","Graham County","AZ","0.00","100.00","100.00","77.97","20.16","0.00","2015-04-07","2015-04-13"
"2015-04-07","04011","Greenlee County","AZ","0.00","100.00","100.00","79.53","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04012","La Paz County","AZ","29.09","70.91","39.98","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04013","Maricopa County","AZ","11.11","88.89","66.53","0.01","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04015","Mohave County","AZ","0.00","100.00","93.87","17.47","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04017","Navajo County","AZ","0.00","100.00","98.55","37.11","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04019","Pima County","AZ","29.82","70.18","56.44","0.38","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04021","Pinal County","AZ","0.00","100.00","89.81","14.00","2.37","0.00","2015-04-07","2015-04-13"
"2015-04-07","04023","Santa Cruz County","AZ","0.00","100.00","47.44","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04025","Yavapai County","AZ","0.00","100.00","66.74","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","04027","Yuma County","AZ","54.00","46.00","21.28","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05001","Arkansas County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05003","Ashley County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05005","Baxter County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05007","Benton County","AR","29.09","70.91","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05009","Boone County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05011","Bradley County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05013","Calhoun County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05015","Carroll County","AR","99.88","0.12","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05017","Chicot County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05019","Clark County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05021","Clay County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05023","Cleburne County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05025","Cleveland County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05027","Columbia County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05029","Conway County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
"2015-04-07","05031","Craighead County","AR","100.00","0.00","0.00","0.00","0.00","0.00","2015-04-07","2015-04-13"
